22.877185583114624 3.151087999343872 4.764909267425537
         30608331 function calls (18939287 primitive calls) in 30.792 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 <frozen _collections_abc>:345(__subclasshook__)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
        2    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        6    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       11    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
     21/8    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:48(isdir)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     22/8    0.000    0.000    0.019    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     22/8    0.000    0.000    0.019    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
  278/277    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
    53/17    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
     20/8    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
     10/7    0.000    0.000    0.016    0.002 <frozen importlib._bootstrap_external>:1020(exec_module)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1307(__init__)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1318(create_module)
     10/7    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1326(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1370(_find_parent_path_names)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1380(_get_parent_path)
     32/8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1384(_recalculate)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
     20/8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1398(__iter__)
    12/10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(__len__)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
